 This is a test file containing a non-square matrix
 The dimension of the matrix is        1200  by           6
 .914149E-02 .583008E-02 .945669E-06 .339226E-06 .197567E-07 .197567E-07
 .864924E-02 .564676E-02 .716920E-06 .261143E-06 .147664E-07 .147664E-07
 .758640E-02 .451963E-02 .770777E-06 .355149E-06 .168779E-07 .168779E-07
 .998525E-02 .694556E-02 .876548E-06 .264381E-06 .175574E-07 .175574E-07
 .110586E-01 .758841E-02 .115332E-05 .321710E-06 .231106E-07 .231106E-07
 .920563E-02 .593483E-02 .130444E-05 .445664E-06 .274800E-07 .274800E-07
 .758758E-02 .455107E-02 .104473E-05 .468873E-06 .231818E-07 .231818E-07
 .963076E-02 .717156E-02 .698119E-06 .196299E-06 .135791E-07 .135791E-07
 .778348E-02 .530567E-02 .537567E-06 .196609E-06 .108717E-07 .108717E-07
 .725136E-02 .441892E-02 .583643E-06 .269543E-06 .125464E-07 .125464E-07
 .642353E-02 .362762E-02 .635926E-06 .368598E-06 .146229E-07 .146229E-07
 .614649E-02 .342402E-02 .869084E-06 .524761E-06 .206650E-07 .206650E-07
 .114954E-01 .893496E-02 .988605E-06 .236883E-06 .190568E-07 .190568E-07
 .132157E-01 .103302E-01 .137218E-05 .288184E-06 .263416E-07 .263416E-07
 .108925E-01 .806148E-02 .167753E-05 .415623E-06 .335771E-07 .335771E-07
 .788830E-02 .550910E-02 .188126E-05 .614463E-06 .401160E-07 .401160E-07
 .701407E-02 .437261E-02 .143347E-05 .619192E-06 .321440E-07 .321440E-07
 .618965E-02 .363757E-02 .117983E-05 .633529E-06 .277019E-07 .277019E-07
 .901814E-02 .780488E-02 .589340E-06 .138258E-06 .109470E-07 .109470E-07
 .799989E-02 .610940E-02 .516604E-06 .155021E-06 .999025E-08 .999025E-08
 .111945E-01 .102179E-01 .859425E-06 .173803E-06 .159208E-07 .159208E-07
 .675887E-02 .483910E-02 .395074E-06 .140627E-06 .777441E-08 .777441E-08
 .674869E-02 .427785E-02 .454904E-06 .204552E-06 .954453E-08 .954453E-08
 .625836E-02 .353199E-02 .479767E-06 .282137E-06 .108207E-07 .108207E-07
 .579381E-02 .316854E-02 .552514E-06 .371541E-06 .131447E-07 .131447E-07
 .521705E-02 .277236E-02 .663935E-06 .511269E-06 .167491E-07 .167491E-07
 .447483E-02 .238667E-02 .904012E-06 .761515E-06 .240682E-07 .240682E-07
 .502882E-02 .284351E-02 .114721E-05 .776792E-06 .288336E-07 .288336E-07
 .122910E-01 .118211E-01 .117153E-05 .217368E-06 .218119E-07 .218119E-07
 .122555E-01 .146578E-01 .160789E-05 .248663E-06 .296203E-07 .296203E-07
 .112387E-01 .113133E-01 .195994E-05 .351772E-06 .374266E-07 .374266E-07
 .943499E-02 .889812E-02 .226790E-05 .459909E-06 .446344E-07 .446344E-07
 .833364E-02 .699797E-02 .231148E-05 .566257E-06 .471124E-07 .471124E-07
 .610309E-02 .402077E-02 .187888E-05 .800145E-06 .427031E-07 .427031E-07
 .567731E-02 .414230E-02 .252880E-05 .922785E-06 .563133E-07 .563133E-07
 .680893E-02 .550217E-02 .260712E-05 .736333E-06 .550165E-07 .550165E-07
 .511424E-02 .309288E-02 .160944E-05 .902092E-06 .389873E-07 .389873E-07
 .778331E-02 .727558E-02 .452195E-06 .958566E-07 .809139E-08 .809139E-08
 .752468E-02 .616045E-02 .452178E-06 .123119E-06 .849943E-08 .849943E-08
 .994477E-02 .107541E-01 .714310E-06 .119073E-06 .126548E-07 .126548E-07
 .119160E-01 .153959E-01 .117466E-05 .166691E-06 .209440E-07 .209440E-07
 .657459E-02 .538843E-02 .363113E-06 .101940E-06 .676456E-08 .676456E-08
 .602989E-02 .458826E-02 .323962E-06 .106748E-06 .619050E-08 .619050E-08
 .578355E-02 .400608E-02 .312638E-06 .124045E-06 .620580E-08 .620580E-08
 .614826E-02 .392979E-02 .362354E-06 .164205E-06 .748891E-08 .748891E-08
 .537035E-02 .279287E-02 .530567E-06 .407261E-06 .130929E-07 .130929E-07
 .603083E-02 .349326E-02 .392688E-06 .218107E-06 .858495E-08 .858495E-08
 .470518E-02 .244580E-02 .639428E-06 .555982E-06 .168099E-07 .168099E-07
 .417955E-02 .215835E-02 .740630E-06 .715612E-06 .204730E-07 .204730E-07
 .344349E-02 .177467E-02 .900734E-06 .100930E-05 .267546E-07 .267546E-07
